Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bermuda,BMU,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,97.30718231,95.19715118,92.78816223,93.22693634,93.79151154,96.78703308,98.20340729,98.95928955,92.79264832,93.72161865,93.12618256,92.84812164,92.20654297,90.81951141,91.38310242,,,,,,,,,,100.8116302,,113.2434998,,,,97.15909,97.03557,97.40467,97.17172,97.54098,97.41774,,,,99.31172,98.37067,97.21005,96.80601,98.06266,101.1463,,,
Bolivia,BOL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,88.93090057,88.57391357,90.00283813,92.41235352,94.61704254,99.43927002,101.5459595,98.38282776,99.20744324,100.7586212,99.96710205,101.5398483,,103.7264862,109.3838882,,107.4294968,114.0451126,,103.2028198,105.7126465,107.4468613,107.5949402,108.48703,110.4940796,112.9630127,114.1148529,115.3264008,116.3243103,118.3021774,118.22122,117.24152,117.82004,116.04538,115.41665,114.81316,113.27957,112.38876,111.0085,107.1726,103.4391,99.9041,98.31224,97.05637,95.93012,95.85796,96.5925,97.55629,
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.6453857,,150.78555,146.82779,140.54449,133.69631,133.26216,,128.17979,132.05521,131.16516,,132.4966,134.5204,113.9198,114.2547,112.7733,113.9454,115.4478,
Barbados,BRB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,102.3887024,100.2996674,101.349968,98.5956192,104.6375504,107.5484009,114.5799637,116.3131104,115.1507111,101.4028397,98.14096832,98.25099945,99.78620148,105.9583817,108.6804581,,,,119.4540863,114.4669189,,106.2866287,,,,,,,102.2181931,100.65389,99.27465,96.76539,96.64907,94.95598,96.12875,98.246,99.64702,101.16892,100.45971,99.59562,98.28399,,,95.19335,95.91724,97.28297,97.76968,99.35135
Brunei Darussalam,BRN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,129.5664368,133.0525208,133.8281555,131.7407227,129.5646973,124.8921509,124.4257889,125.5822983,123.9890518,107.7033768,105.4973602,105.2636795,101.8222733,102.4766312,105.1065674,104.424118,111.1802521,110.7502289,114.0831985,118.0921326,,111.0943069,111.4716415,113.4730988,114.804863,113.8679123,112.5464706,110.3479691,112.4637527,111.844101,110.18191,107.31913,107.71335,110.65327,111.04673,110.6297,110.30373,109.68696,107.62241,106.92304,106.5422,106.8165,105.9344,106.111,105.4932,105.5275,107.1228,104.8577,103.1516
Bhutan,BTN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,19.77725983,19.68001938,21.04910088,,24.10251045,,29.0815506,31.56773949,31.67995071,35.43566895,45.49314117,50.71480942,53.26612091,57.13497162,59.37852097,59.22605896,54.44313812,55.28852844,57.14757919,,,51.3915596,50.63327026,55.74013901,58.60168839,62.55360031,66.38707733,69.55832672,71.38594818,73.23358917,76.17701,78.63001,81.08417,84.15406,87.9279,91.05958,94.5556,97.91548,100.94379,105.15424,108.2144,110.877,111.901,106.9431,105.4768,104.2338,102.6607,101.3341,100.1397
Botswana,BWA,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,67.17926788,61.41524124,61.69549179,66.98296356,70.12902069,75.89887238,78.94693756,82.90759277,84.29229736,87.15708923,91.94393158,95.41992188,96.98065186,99.51229095,101.6938324,104.492157,106.1931534,107.7337723,108.9820404,111.0198822,111.0342636,113.4506531,111.6616516,111.0820618,111.2870178,110.4230118,111.3063889,111.7317886,110.5444794,110.2667084,110.42842,111.41732,111.52218,111.34643,110.88688,111.14859,111.46769,109.83465,108.49721,108.20036,,,105.0808,105.0014,103.7176,103.2384,,,
Central African Republic,CAF,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,65.38928986,64.16307831,68.10584259,68.61593628,72.12822723,72.3719101,74.80898285,74.19101715,72.91828156,71.8936615,71.014328,72.85157776,73.97744751,77.37423706,79.80092621,78.57952881,67.59620667,68.55809021,69.05864716,72.77172852,67.10072327,58.58322906,,,,,,,,,77.83854,68.23957,67.35007,57.62016,63.89601,63.46093,72.96402,83.7825,85.0827,87.33161,87.6729,87.80936,,,,102.0189,,
Canada,CAN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,102.7319717,100.7097092,98.594841,97.23220825,98.09449768,98.39092255,99.00691986,99.55196381,99.63516235,99.71363068,99.47411346,105.2247391,104.6400223,104.0704498,103.7870636,104.0246887,103.9568481,104.0055466,104.2681885,104.2817764,104.4418411,103.6741486,102.6970978,101.9000397,101.8100815,102.8130798,,99.82164001,100.2574692,100.78877,,,,98.4768,97.36457,98.88063,98.96648,98.01331,99.0088,98.6416,98.18937,99.51828,100.3407,101.5367,102.4851,101.0239,100.9437,
Central Europe and the Baltics,CEB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,103.131897,103.1027069,103.9165115,103.6602707,103.6741791,102.9652786,102.2607574,101.5454407,100.8305664,99.93845367,98.60884094,97.7009964,98.90838623,99.75341034,100.1855927,99.87271881,98.93860626,98.48130798,97.41229248,96.39555359,94.88114166,94.29099274,95.34388733,96.46871948,97.33351135,97.55953217,98.09114838,98.85273743,99.52667236,98.98352051,99.05145264,99.340271,99.10986328,99.0512085,99.45536041,98.89888763,98.54451752,98.7724762,98.37071228,98.82006836,99.07394,98.93132,99.67293,99.05354,98.34762,97.59906,96.91125,96.96879,97.01267
Switzerland,CHE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,93.83506012,93.20645142,92.53501892,91.80296326,83.26101685,84.20066833,83.2039566,82.61206055,82.50881195,82.46971893,81.89840698,81.44307709,81.26602173,81.62348938,82.78621674,84.66439056,87.1953125,89.66365051,90.98531342,91.2620697,95.60694122,94.55490875,96.06027985,98.10584259,,105.4125824,105.8800735,106.68965,105.61872,104.62748,104.01816,103.3387,102.30718,101.98685,102.10811,102.54068,102.83444,102.8495,103.1139,103.1537,103.6015,103.4874,104.1842,104.6291,105.1907,
Channel Islands,CHI,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,117.481102,124.4307175,125.3566589,126.2494202,126.3202286,123.9176178,120.5345383,119.4073792,118.6359787,118.572998,115.5435715,113.2436371,110.8084869,108.8064117,104.9636307,104.7394409,102.8753967,,100.1350021,101.1376266,102.6298904,103.04319,100.4115982,100.6024704,,,100.3041077,78.36396027,103.0090332,103.7698669,103.01351,,100.84305,99.72118,104.155,104.56108,105.41235,106.78148,107.54435,106.50496,103.7505,103.4072,103.2481,101.4587,100.9415,100.6848,100.9783,101.4302,
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,107.0421677,106.3358307,108.0415115,115.4007492,119.1142426,121.4987564,121.5533981,116.5009689,110.6123276,109.2433014,109.719368,111.1699905,110.754158,110.7784119,111.5861969,116.6951828,121.48349,126.1507111,128.0993958,128.4742126,127.5487823,124.3763809,121.7244873,118.3772278,114.9444885,111.7638168,108.0741577,105.5070877,105.769371,,,112.34159,,,,,100.99328,100.70705,100.74244,100.0061,98.96422,99.04702,99.7911,99.5646,95.79643,96.3186,97.96192,99.40481,100.2227
Cote d'Ivoire,CIV,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,59.33253098,61.64683914,61.80448914,63.44821167,64.93514252,65.8115387,66.24247742,68.93383789,72.32377625,75.58979034,77.34175873,79.17324829,79.52404785,78.91438293,76.61090851,74.17649841,72.98209381,71.59866333,71.59329224,71.98232269,71.74420166,70.15789032,69.4382019,68.00031281,70.01078033,70.55156708,71.0151825,71.84345245,72.57141876,74.57289124,73.91165,76.12587,76.47013,71.86367,,,68.51096,68.9822,72.73877,71.831,,79.69289,82.73464,83.99138,86.80014,90.65904,95.88669,98.36802,99.79975
Cameroon,CMR,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,92.34768677,89.76547241,90.0577774,91.10964203,93.31076813,94.58779907,93.20307922,94.31754303,94.88774872,95.27755737,97.67250061,98.60742188,101.1121368,99.30523682,100.1778717,101.0160675,102.4532776,102.938652,99.33312988,98.87776184,96.26161194,90.41085815,,83.48693085,81.28502655,74.67913818,78.20269012,80.35401154,82.84075928,85.20452,100.81173,100.80282,100.92099,105.41287,103.44945,102.30476,104.24175,104.35048,106.26686,108.1327,107.2281,111.6662,,113.279,116.2104,116.1173,,103.4021
"Congo, Dem. Rep.",COD,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,96.48459625,96.28687286,96.49368286,95.57853699,94.69564056,95.43182373,95.03717804,95.62999725,95.84722137,96.42163086,97.46707153,98.14309692,98.84040833,99.64663696,94.4133606,94.88816071,82.35547638,83.68936157,,61.77510834,79.62924194,77.51647186,78.32215118,76.25872803,80.66085815,,,65.7621994,53.37403107,,,66.96289,,,,,93.10951,101.44362,100.49092,99.99916,101.1622,105.4911,106.5536,110.1767,107.9771,,,
"Congo, Rep.",COG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,111.2289581,116.6166077,118.9743805,121.2601776,122.7009125,123.2892685,123.1996689,124.4173813,124.7066193,128.7247772,127.1061478,128.0898132,128.7797241,130.5858307,130.8586731,132.0056152,134.3667603,128.9812012,127.1603775,124.0142212,122.3526306,119.7534332,122.2353973,118.4555893,119.0194702,111.9534378,110.0975418,92.27097321,58.35105896,86.47666,101.24361,103.5903,97.95951,109.31365,108.52121,108.73477,106.16315,103.7749,107.36278,109.1602,109.2319,106.6401,,,,,,
Colombia,COL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,102.302742,104.7474899,105.2630615,108.0365372,108.4922028,111.4647293,115.1383133,118.5066223,122.2815323,125.2138214,120.8780823,122.2849503,112.9922409,112.6027222,110.8021393,109.0764771,105.9875107,107.2115479,107.0624313,107.2529984,107.5102997,108.0157471,112.3544006,113.2647476,113.6806793,113.9945679,118.5603333,,120.8489838,119.6371078,119.38394,116.24857,117.15305,,119.58101,121.52662,122.43024,123.15247,123.64575,124.57891,120.3232,117.6695,114.9601,116.2692,114.5444,115.2319,116.2337,114.9833,114.5267
Comoros,COM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,39.26977921,39.82820892,50.28414154,56.83967972,68.5858078,83.92024994,96.03938293,,105.1656189,,117.6508789,,113.8736572,111.2978897,108.6288986,111.8513336,102.140892,102.1426697,100.6953278,99.05364227,102.4651108,106.7125092,100.3861694,102.1818237,,97.11476898,,101.0447311,92.94510651,103.19,,111.99132,110.33235,108.18509,,,103.97318,108.64124,,,108.0247,,107.0318,104.9749,,,99.44759,
Cabo Verde,CPV,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,57.29653931,68.1792984,82.7131424,94.67835999,100.7727432,125.6623077,117.9805832,116.8896484,115.72435,114.3399582,113.4138184,112.8513336,107.0728912,113.2069016,114.7936707,116.2457809,119.2995682,122.2772369,124.9345474,126.1749573,125.8093567,,,124.3565292,,,,124.4433899,122.9770279,120.12322,117.95633,116.85512,115.39917,113.99306,114.22731,115.92193,116.02544,115.3738,113.38976,111.1122,109.0176,107.9076,108.1929,107.4293,105.4968,103.9075,103.2829,104.028
Costa Rica,CRI,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.3476181,104.7934265,105.8685379,107.5336609,106.0068512,105.0256729,107.1440735,108.4335938,107.3239136,106.572113,105.6552734,105.7735901,102.8267593,101.0323563,99.78486633,99.38948822,100.3257294,100.1987076,101.0726089,101.093071,101.3110733,102.5967407,103.6968079,103.9633789,103.7501373,103.8718567,104.1965714,104.1383896,104.2797775,112.0881195,109.10442,109.81272,109.20161,,113.81433,111.86185,114.12326,113.68903,115.35181,116.95175,116.8994,115.8882,114.6695,112.3202,111.7729,111.298,111.7611,110.8335,113.2943
Caribbean small states,CSS,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,109.8902206,109.7840195,111.050827,109.0686722,109.6725616,106.0550232,105.2396164,107.4548721,107.3081665,106.9899826,104.6869888,103.5981216,104.8094025,105.1595917,104.550293,104.7420883,104.4292374,105.7321167,105.6846924,106.749527,104.3922806,102.4354782,102.390007,102.3228378,103.1359024,102.8952332,102.7208405,102.9823227,102.6700592,101.5147018,101.8499908,100.4975128,99.02646637,99.11730957,100.1278076,99.49185944,99.95187378,97.8755188,100.0007401,100.0745163,98.97625,100.0812,100.3823,100.2685,99.54082,99.78897,99.23506,98.37003,98.68449
Cuba,CUB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,118.4250412,117.3613815,119.1733322,119.8349915,121.4330063,123.1460114,121.9742126,119.4971924,115.4208527,110.5331116,105.5658417,102.8954163,103.0410919,102.4351501,100.8734131,100.7660294,101.5328827,100.9178238,100.2672882,99.10183716,97.5667038,99.28588104,99.78579712,101.4043579,100.8718185,104.5308838,104.0586777,102.0289001,102.4612274,102.63977,102.98116,103.61125,101.83209,101.69447,101.11218,100.33998,99.71524,99.38472,100.82344,101.4598,101.4262,100.827,99.13198,100.04,99.48758,99.56203,100.4602,101.9045
Curacao,CUW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.9964,,,,,
Cayman Islands,CYM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,87.8478775,86.24891663,85.68987274,86.13709259,77.86911011,78.45044708,77.75141144,78.57173157,78.67562866,74.89855957,74.12407684,70.4773407,70.61538696,71.08920288,71.87760925,77.05210114,81.02812195,82.34883118,82.66812897,82.37229156,81.97109985,80.46820068,101.0988083,100.7716217,99.88453674,99.78395081,99.79351044,,97.4384613,96.73135,96.64961,97.77345,97.61051,97.74523,100.85795,102.38691,102.47384,103.35171,105.36476,101.6243,101.2005,100.1753,99.76198,99.15272,99.30012,,,
